Ano,Mês,Processo,AnoDoProcesso,Tipo_PF_PJ,CPF_CNPJ,Substância,UF,CodigoMunicipio,Município,QuantidadeComercializada,UnidadeDeMedida,ValorRecolhido,DataCriacao
2003,5,800083.0,1992.0,PJ,07258122000121,ARGILA,PI,2202208,CAMPO MAIOR,1329,t  ,"88,5",2003-05-05 10:33:00
2003,5,,,PJ,09588906000143,CASCALHO,PI,2211001,TERESINA,750,m3 ,"72,75",2003-05-02 17:56:00
2003,5,,,PJ,01604657000120,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,694,t  ,"13,51",2003-05-05 19:29:00
2003,5,,,PJ,41267949000130,SEIXOS,PI,2211001,TERESINA,550,m3 ,"22,5",2003-05-08 19:10:00
2003,5,,,PJ,69628683000122,ARGILA,PI,2211001,TERESINA,2455,t  ,"108,89",2003-05-16 10:01:00
2003,5,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1995,t  ,"183,09",2003-05-28 17:25:00
2003,5,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,35969,t  ,"939,69",2003-04-08 10:16:00
2003,5,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,363,m3 ,"535,03",2003-05-29 17:12:00
2003,5,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,211118,t  ,"103,3",2003-05-19 11:38:00
2003,5,,,PJ,07196033002222,ÁGUA MINERAL,PI,2211001,TERESINA,754799,l  ,"4850,2",2003-05-03 10:08:00
2003,5,,,PJ,10807972000146,ARGILA P/CER. VERMELH,PI,2206209,MIGUEL ALVES,442,t  ,"26,88",2003-05-29 16:09:00
2003,6,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2378,t  ,"162,07",2003-06-05 07:55:00
2003,6,,,PJ,09588906000143,CASCALHO,PI,2211001,TERESINA,550,m3 ,"52,75",2003-06-03 18:04:00
2003,6,,,PJ,69628683000122,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2505,t  ,"106,81",2003-06-17 09:33:00
2003,6,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1274,t  ,"109,03",2003-06-25 10:06:00
2003,6,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,433,m3 ,"637,73",2003-06-30 07:45:00
2003,6,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1858,t  ,"90,64",2003-06-04 13:13:00
2003,6,,,PJ,07196033002222,ÁGUA MINERAL,PI,2211001,TERESINA,837809,l  ,"5718,4",2003-06-03 16:28:00
2003,7,,,PJ,09588906000143,CASCALHO,PI,2211001,TERESINA,680,m3 ,"65,75",2003-07-01 17:33:00
2003,7,,,PJ,03382893000175,ARGILA P/CER. VERMELH,PI,2206209,MIGUEL ALVES,518,t  ,"29,6",2003-07-02 16:17:00
2003,7,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,26225,t  ,"760,77",2003-07-01 12:20:00
2003,7,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2945,t  ,"201,47",2003-07-07 14:35:00
2003,7,,,PJ,11615978000184,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,255,t  ,"10,52",2003-07-14 09:04:00
2003,7,,,PJ,01604657000120,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2067,t  ,"40,33",2003-07-17 11:10:00
2003,7,,,PJ,03382893000175,ARGILA P/CER. VERMELH,PI,2206209,MIGUEL ALVES,551,t  ,"28,74",2003-07-03 08:10:00
2003,7,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,703,m3 ,"1037,22",2003-07-23 11:34:00
2003,7,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2474,t  ,"121,46",2003-07-15 08:52:00
2003,7,,,PJ,07196033002222,ÁGUA MINERAL,PI,2211001,TERESINA,967013,l  ,"6540,27",2003-07-02 14:00:00
2003,7,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,37155,t  ,"970,76",2003-06-11 14:02:00
2003,8,,,PJ,01991046000182,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2569,t  ,"129,87",2003-07-31 12:27:00
2003,8,,,PJ,01991046000182,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2445,t  ,158,2003-07-31 10:02:00
2003,8,,,PJ,01991046000182,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1878,t  ,"110,63",2003-07-31 12:19:00
2003,8,,,PJ,01991046000182,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2670,t  ,"151,46",2003-07-31 12:22:00
